scenario,drift_threshold,flagged_windows,total_windows,flag_rate
equal_opportunity_drift,0.01,5,8,0.625
false_positive_rate_drift,0.01,0,8,0.0
multiple_testing_false_alarm_control,0.01,3,8,0.375
no_drift_baseline,0.01,2,8,0.25
selection_parity_drift,0.01,4,8,0.5
small_subgroup_drift,0.01,4,8,0.5
equal_opportunity_drift,0.02,5,8,0.625
false_positive_rate_drift,0.02,0,8,0.0
multiple_testing_false_alarm_control,0.02,1,8,0.125
no_drift_baseline,0.02,2,8,0.25
selection_parity_drift,0.02,4,8,0.5
small_subgroup_drift,0.02,4,8,0.5
equal_opportunity_drift,0.03,4,8,0.5
false_positive_rate_drift,0.03,0,8,0.0
multiple_testing_false_alarm_control,0.03,0,8,0.0
no_drift_baseline,0.03,1,8,0.125
selection_parity_drift,0.03,3,8,0.375
small_subgroup_drift,0.03,4,8,0.5
equal_opportunity_drift,0.05,3,8,0.375
false_positive_rate_drift,0.05,0,8,0.0
multiple_testing_false_alarm_control,0.05,0,8,0.0
no_drift_baseline,0.05,0,8,0.0
selection_parity_drift,0.05,3,8,0.375
small_subgroup_drift,0.05,4,8,0.5
